Linear_Linear1 Episode 91, Reward: -149.52829149649406, Steps: 54
Linear_Linear1 Episode 92, Reward: -121.2762097266243, Steps: 84
Linear_Linear1 Episode 93, Reward: -153.9183587436343, Steps: 65
Linear_Linear1 Episode 94, Reward: -203.33175434964727, Steps: 92
Linear_Linear1 Episode 95, Reward: -173.31609888356348, Steps: 74
Linear_Linear1 Episode 96, Reward: -265.30046881258, Steps: 93
Linear_Linear1 Episode 97, Reward: -134.72414225176334, Steps: 78
Linear_Linear1 Episode 98, Reward: -4.670329986585358, Steps: 75
Linear_Linear1 Episode 99, Reward: -121.05269081792258, Steps: 86
Linear_Linear1 Episode 100, Reward: -135.62560879339134, Steps: 66
Linear_Linear1 Episode 101, Reward: -145.51941374939483, Steps: 61
Linear_Linear1 Episode 102, Reward: -165.22881566578252, Steps: 75
Linear_Linear1 Episode 103, Reward: -90.10120700971623, Steps: 52
Linear_Linear1 Episode 104, Reward: -167.81024318325248, Steps: 83
Linear_Linear1 Episode 105, Reward: -131.84466565879677, Steps: 59
Linear_Linear1 Episode 106, Reward: -126.33952081802678, Steps: 67
Linear_Linear1 Episode 107, Reward: -125.71899780548483, Steps: 68
Linear_Linear1 Episode 108, Reward: -152.2361324632859, Steps: 63
Linear_Linear1 Episode 109, Reward: -90.31889575171283, Steps: 54
Linear_Linear1 Episode 110, Reward: -148.2218640751138, Steps: 71
Linear_Linear1 Episode 111, Reward: -178.21049159744186, Steps: 69
Linear_Linear1 Episode 112, Reward: -140.12795326363053, Steps: 78
Linear_Linear1 Episode 113, Reward: -133.49705380618045, Steps: 61
Linear_Linear1 Episode 114, Reward: -151.72186097469088, Steps: 64
Linear_Linear1 Episode 115, Reward: -123.09401845873353, Steps: 56
Linear_Linear1 Episode 116, Reward: -88.37527246112714, Steps: 54
Linear_Linear1 Episode 117, Reward: -117.80745189148871, Steps: 85
Linear_Linear1 Episode 118, Reward: -102.41165328594136, Steps: 58
Linear_Linear1 Episode 119, Reward: -137.7646844657808, Steps: 85
Linear_Linear1 Episode 120, Reward: -117.90119859913807, Steps: 78
Linear_Linear1 Episode 121, Reward: -111.82776496337502, Steps: 55
Linear_Linear1 Episode 122, Reward: -134.99714351719297, Steps: 54
Linear_Linear1 Episode 123, Reward: -140.07288020150745, Steps: 69
Linear_Linear1 Episode 124, Reward: -109.42942476501779, Steps: 63
Linear_Linear1 Episode 125, Reward: -144.991091258804, Steps: 55
Linear_Linear1 Episode 126, Reward: -135.48034906719965, Steps: 69
Linear_Linear1 Episode 127, Reward: -147.16628598625115, Steps: 92
Linear_Linear1 Episode 128, Reward: -129.4681539639473, Steps: 58
Linear_Linear1 Episode 129, Reward: -298.90211170513066, Steps: 85
Linear_Linear1 Episode 130, Reward: -125.23668583559748, Steps: 77
Linear_Linear1 Episode 131, Reward: -201.75335876035734, Steps: 85
Linear_Linear1 Episode 132, Reward: -127.02527305977017, Steps: 62
Linear_Linear1 Episode 133, Reward: -156.25098809430997, Steps: 80
Linear_Linear1 Episode 134, Reward: -161.75652258913846, Steps: 69
Linear_Linear1 Episode 135, Reward: -148.79318396540788, Steps: 79
Linear_Linear1 Episode 136, Reward: -171.35087335957394, Steps: 65
Linear_Linear1 Episode 137, Reward: -124.83578986392502, Steps: 89
Linear_Linear1 Episode 138, Reward: -151.91277616971036, Steps: 80
Linear_Linear1 Episode 139, Reward: -139.6050023648915, Steps: 61
Linear_Linear1 Episode 140, Reward: -152.84271842780566, Steps: 66
Linear_Linear1 Episode 141, Reward: -165.39348228559408, Steps: 86
Linear_Linear1 Episode 142, Reward: -148.4631474030537, Steps: 55
Linear_Linear1 Episode 143, Reward: -62.814977369638456, Steps: 61
Linear_Linear1 Episode 144, Reward: -49.73325216622845, Steps: 63
Linear_Linear1 Episode 145, Reward: -153.5177804921656, Steps: 80
Linear_Linear1 Episode 146, Reward: -131.11573623832288, Steps: 73
Linear_Linear1 Episode 147, Reward: -187.53638171841408, Steps: 68
Linear_Linear1 Episode 148, Reward: -111.97227398132276, Steps: 72
Linear_Linear1 Episode 149, Reward: -156.0446948721763, Steps: 77
Linear_Linear1 Episode 150, Reward: -157.44941489436397, Steps: 62
Linear_Linear1 Episode 151, Reward: -94.73522646356122, Steps: 83
Linear_Linear1 Episode 152, Reward: -22.433978317879053, Steps: 81
Linear_Linear1 Episode 153, Reward: -150.43294747277253, Steps: 80
Linear_Linear1 Episode 154, Reward: -152.79476050259854, Steps: 58
Linear_Linear1 Episode 155, Reward: -189.528335558331, Steps: 77
Linear_Linear1 Episode 156, Reward: -173.5061306509812, Steps: 70
Linear_Linear1 Episode 157, Reward: -124.57047476972545, Steps: 60
Linear_Linear1 Episode 158, Reward: -127.6146141780354, Steps: 60
Linear_Linear1 Episode 159, Reward: -20.374274881999412, Steps: 63
Linear_Linear1 Episode 160, Reward: -196.11076235602343, Steps: 85
Linear_Linear1 Episode 161, Reward: -101.53905749911502, Steps: 56
Linear_Linear1 Episode 162, Reward: -140.4196928025521, Steps: 73
Linear_Linear1 Episode 163, Reward: -114.71276042710443, Steps: 52
Linear_Linear1 Episode 164, Reward: -149.1246682502553, Steps: 65
Linear_Linear1 Episode 165, Reward: -150.07125810903244, Steps: 62
Linear_Linear1 Episode 166, Reward: -134.84066124580562, Steps: 73
Linear_Linear1 Episode 167, Reward: -150.8564651828064, Steps: 57
Linear_Linear1 Episode 168, Reward: -135.59714346930673, Steps: 64
Linear_Linear1 Episode 169, Reward: -141.09479223677565, Steps: 55
Linear_Linear1 Episode 170, Reward: -107.68470606460764, Steps: 56
Linear_Linear1 Episode 171, Reward: -117.88237963923297, Steps: 90
Linear_Linear1 Episode 172, Reward: -141.28849688984377, Steps: 56
Linear_Linear1 Episode 173, Reward: -101.16718716496243, Steps: 61
Linear_Linear1 Episode 174, Reward: -170.5403947047747, Steps: 66
Linear_Linear1 Episode 175, Reward: -140.20889726946544, Steps: 71
Linear_Linear1 Episode 176, Reward: -94.47656343794375, Steps: 56
Linear_Linear1 Episode 177, Reward: -78.21109505519323, Steps: 52
Linear_Linear1 Episode 178, Reward: -138.93685825055147, Steps: 68
Linear_Linear1 Episode 179, Reward: -115.38646334476593, Steps: 57
Linear_Linear1 Episode 180, Reward: -37.601205354636534, Steps: 79
Linear_Linear1 Episode 181, Reward: 14.203010474447481, Steps: 81
Linear_Linear1 Episode 182, Reward: -132.64791725871865, Steps: 65
Linear_Linear1 Episode 183, Reward: -156.94128418199003, Steps: 69
Linear_Linear1 Episode 184, Reward: -134.4813441694354, Steps: 62
Linear_Linear1 Episode 185, Reward: -104.326265985638, Steps: 51
Linear_Linear1 Episode 186, Reward: -144.92573863194622, Steps: 61
Linear_Linear1 Episode 187, Reward: -144.12764729692645, Steps: 58
Linear_Linear1 Episode 188, Reward: -149.932313850968, Steps: 77
Linear_Linear1 Episode 189, Reward: -212.83505105992396, Steps: 80
Linear_Linear1 Episode 190, Reward: -182.77152236227295, Steps: 81
Linear_Linear1 Episode 191, Reward: -115.54530018995737, Steps: 52
Linear_Linear1 Episode 192, Reward: -120.92202232015356, Steps: 53
Linear_Linear1 Episode 193, Reward: -140.57601081189782, Steps: 63
Linear_Linear1 Episode 194, Reward: -102.80444473789385, Steps: 85
Linear_Linear1 Episode 195, Reward: -126.4921010241834, Steps: 82
Linear_Linear1 Episode 196, Reward: -114.24248676749988, Steps: 59
Linear_Linear1 Episode 197, Reward: -191.448130537096, Steps: 78
Linear_Linear1 Episode 198, Reward: -206.2896449145294, Steps: 89
Linear_Linear1 Episode 199, Reward: -106.0033344435582, Steps: 52
Linear_Linear1 Episode 200, Reward: -2.2069160891116297, Steps: 73
Linear_Linear1 Episode 201, Reward: -137.96582081888715, Steps: 51
Linear_Linear1 Episode 202, Reward: -174.30792119897978, Steps: 77
Linear_Linear1 Episode 203, Reward: -103.16160078267302, Steps: 60
Linear_Linear1 Episode 204, Reward: -91.86462308456052, Steps: 57
Linear_Linear1 Episode 205, Reward: -112.13698865581509, Steps: 79
Linear_Linear1 Episode 206, Reward: -137.12035122060598, Steps: 57
Linear_Linear1 Episode 207, Reward: -105.48004691537142, Steps: 58
Linear_Linear1 Episode 208, Reward: -137.93377179424522, Steps: 54
Linear_Linear1 Episode 209, Reward: 20.11922203458296, Steps: 59
Linear_Linear1 Episode 210, Reward: -139.0262417479798, Steps: 74
Linear_Linear1 Episode 211, Reward: -171.10008639913676, Steps: 87
Linear_Linear1 Episode 212, Reward: -86.02223878623735, Steps: 55
Linear_Linear1 Episode 213, Reward: -162.01130318963828, Steps: 67
Linear_Linear1 Episode 214, Reward: -176.34957085235195, Steps: 74
Linear_Linear1 Episode 215, Reward: -153.0646977661953, Steps: 57
Linear_Linear1 Episode 216, Reward: -84.53964441727851, Steps: 91
Linear_Linear1 Episode 217, Reward: -140.03151453488155, Steps: 85
Linear_Linear1 Episode 218, Reward: -146.52553157226978, Steps: 60
Linear_Linear1 Episode 219, Reward: -144.50999816902248, Steps: 79
Linear_Linear1 Episode 220, Reward: -126.29481987601113, Steps: 57
Linear_Linear1 Episode 221, Reward: -171.67632846392996, Steps: 75
Linear_Linear1 Episode 222, Reward: -115.08993455694821, Steps: 55
Linear_Linear1 Episode 223, Reward: -88.08721086592516, Steps: 87
Linear_Linear1 Episode 224, Reward: -116.87006897800435, Steps: 84
Linear_Linear1 Episode 225, Reward: -133.60895293934243, Steps: 66
Linear_Linear1 Episode 226, Reward: -109.10369295799359, Steps: 53
Linear_Linear1 Episode 227, Reward: -139.6021709143283, Steps: 61
Linear_Linear1 Episode 228, Reward: -101.65722673564795, Steps: 70
Linear_Linear1 Episode 229, Reward: -127.19604761445189, Steps: 64
Linear_Linear1 Episode 230, Reward: -137.94657794620304, Steps: 74
Linear_Linear1 Episode 231, Reward: -137.33589098957592, Steps: 54
Linear_Linear1 Episode 232, Reward: -110.67117983656482, Steps: 53
