LinearNorm_Residue2 Episode 84, Reward: 2.103198751744543, Steps: 156
LinearNorm_Residue2 Episode 85, Reward: -276.13007881699326, Steps: 166
LinearNorm_Residue2 Episode 86, Reward: -209.53456742453395, Steps: 126
LinearNorm_Residue2 Episode 87, Reward: -200.52620627469253, Steps: 91
LinearNorm_Residue2 Episode 88, Reward: -346.0806991944675, Steps: 69
LinearNorm_Residue2 Episode 89, Reward: -384.97104136907006, Steps: 92
LinearNorm_Residue2 Episode 90, Reward: -184.95417220035102, Steps: 86
LinearNorm_Residue2 Episode 91, Reward: -233.4782292802476, Steps: 96
LinearNorm_Residue2 Episode 92, Reward: -199.66987112512192, Steps: 88
LinearNorm_Residue2 Episode 93, Reward: -238.27061983442312, Steps: 108
LinearNorm_Residue2 Episode 94, Reward: -231.25248220767216, Steps: 89
LinearNorm_Residue2 Episode 95, Reward: -246.22168592532722, Steps: 76
LinearNorm_Residue2 Episode 96, Reward: -248.82955145804345, Steps: 79
LinearNorm_Residue2 Episode 97, Reward: -245.12287322410293, Steps: 84
LinearNorm_Residue2 Episode 98, Reward: -262.08923332063216, Steps: 79
LinearNorm_Residue2 Episode 99, Reward: -244.7521651461514, Steps: 85
LinearNorm_Residue2 Episode 100, Reward: -240.1938234087234, Steps: 81
LinearNorm_Residue2 Episode 101, Reward: -238.83534083576887, Steps: 81
LinearNorm_Residue2 Episode 102, Reward: -195.17059257181774, Steps: 89
LinearNorm_Residue2 Episode 103, Reward: -229.52422262613146, Steps: 100
LinearNorm_Residue2 Episode 104, Reward: -258.39908669822717, Steps: 116
LinearNorm_Residue2 Episode 105, Reward: -257.29513393800823, Steps: 101
LinearNorm_Residue2 Episode 106, Reward: -224.36772871471118, Steps: 105
LinearNorm_Residue2 Episode 107, Reward: -365.92082817407083, Steps: 91
LinearNorm_Residue2 Episode 108, Reward: -168.40398020620586, Steps: 74
LinearNorm_Residue2 Episode 109, Reward: -163.35271552300492, Steps: 85
LinearNorm_Residue2 Episode 110, Reward: -194.20993532715096, Steps: 110
LinearNorm_Residue2 Episode 111, Reward: -286.57133601429774, Steps: 96
LinearNorm_Residue2 Episode 112, Reward: -231.99328906170877, Steps: 105
LinearNorm_Residue2 Episode 113, Reward: -213.14204297076253, Steps: 104
LinearNorm_Residue2 Episode 114, Reward: -303.9002620402707, Steps: 103
LinearNorm_Residue2 Episode 115, Reward: -372.2252005235233, Steps: 95
LinearNorm_Residue2 Episode 116, Reward: -181.184900786085, Steps: 104
LinearNorm_Residue2 Episode 117, Reward: -269.7370731719089, Steps: 87
LinearNorm_Residue2 Episode 118, Reward: -170.87216704570267, Steps: 88
LinearNorm_Residue2 Episode 119, Reward: -189.98950470959576, Steps: 114
LinearNorm_Residue2 Episode 120, Reward: 219.85484843992697, Steps: 215
LinearNorm_Residue2 Episode 121, Reward: -304.8019855592431, Steps: 117
LinearNorm_Residue2 Episode 122, Reward: -398.16436152254124, Steps: 121
LinearNorm_Residue2 Episode 123, Reward: -200.74949029492512, Steps: 119
LinearNorm_Residue2 Episode 124, Reward: -312.28604093153865, Steps: 133
LinearNorm_Residue2 Episode 125, Reward: -295.6158272066904, Steps: 109
LinearNorm_Residue2 Episode 126, Reward: -202.3302278494146, Steps: 78
LinearNorm_Residue2 Episode 127, Reward: -378.3190750104586, Steps: 140
LinearNorm_Residue2 Episode 128, Reward: -178.17100254682953, Steps: 108
LinearNorm_Residue2 Episode 129, Reward: -170.29464892480746, Steps: 107
LinearNorm_Residue2 Episode 130, Reward: -156.78468067550685, Steps: 108
LinearNorm_Residue2 Episode 131, Reward: -187.47767909127617, Steps: 103
LinearNorm_Residue2 Episode 132, Reward: -180.96768984060577, Steps: 111
LinearNorm_Residue2 Episode 133, Reward: -367.66135731658534, Steps: 277
LinearNorm_Residue2 Episode 134, Reward: -305.660394797806, Steps: 126
LinearNorm_Residue2 Episode 135, Reward: -350.80891385507914, Steps: 135
LinearNorm_Residue2 Episode 136, Reward: -294.5712418371345, Steps: 148
LinearNorm_Residue2 Episode 137, Reward: -178.01202776404122, Steps: 98
LinearNorm_Residue2 Episode 138, Reward: -180.14943472298074, Steps: 99
LinearNorm_Residue2 Episode 139, Reward: -260.5268878842459, Steps: 109
LinearNorm_Residue2 Episode 140, Reward: -284.20301069947254, Steps: 137
LinearNorm_Residue2 Episode 141, Reward: -155.68253138943285, Steps: 112
LinearNorm_Residue2 Episode 142, Reward: -266.21540844138065, Steps: 133
LinearNorm_Residue2 Episode 143, Reward: -206.49255875947333, Steps: 129
LinearNorm_Residue2 Episode 144, Reward: -180.10986019814544, Steps: 96
LinearNorm_Residue2 Episode 145, Reward: -467.7484618652799, Steps: 131
LinearNorm_Residue2 Episode 146, Reward: -148.85631784630993, Steps: 72
LinearNorm_Residue2 Episode 147, Reward: -196.04212468611496, Steps: 98
LinearNorm_Residue2 Episode 148, Reward: -234.37331506380073, Steps: 88
LinearNorm_Residue2 Episode 149, Reward: -213.3662278743323, Steps: 115
LinearNorm_Residue2 Episode 150, Reward: -156.61344451552347, Steps: 88
LinearNorm_Residue2 Episode 151, Reward: -255.6636189006952, Steps: 150
LinearNorm_Residue2 Episode 152, Reward: -279.776446940176, Steps: 110
LinearNorm_Residue2 Episode 153, Reward: -290.0944525391272, Steps: 102
LinearNorm_Residue2 Episode 154, Reward: -333.63599299255054, Steps: 268
LinearNorm_Residue2 Episode 155, Reward: -256.5669814607696, Steps: 160
LinearNorm_Residue2 Episode 156, Reward: -221.67949295138635, Steps: 89
LinearNorm_Residue2 Episode 157, Reward: -143.5882376626922, Steps: 59
LinearNorm_Residue2 Episode 158, Reward: -484.84116378573424, Steps: 264
LinearNorm_Residue2 Episode 159, Reward: -416.6601077504626, Steps: 187
LinearNorm_Residue2 Episode 160, Reward: -323.3925968506179, Steps: 118
LinearNorm_Residue2 Episode 161, Reward: -259.54271948188125, Steps: 210
LinearNorm_Residue2 Episode 162, Reward: -332.9400109171131, Steps: 193
LinearNorm_Residue2 Episode 163, Reward: -518.7841582823447, Steps: 109
LinearNorm_Residue2 Episode 164, Reward: -502.00846112924444, Steps: 112
LinearNorm_Residue2 Episode 165, Reward: -133.20601496016394, Steps: 67
LinearNorm_Residue2 Episode 166, Reward: -240.06586022685678, Steps: 89
LinearNorm_Residue2 Episode 167, Reward: -385.5909609267953, Steps: 120
LinearNorm_Residue2 Episode 168, Reward: -557.781401314933, Steps: 124
LinearNorm_Residue2 Episode 169, Reward: -175.13800446165678, Steps: 101
LinearNorm_Residue2 Episode 170, Reward: -267.326235981327, Steps: 206
LinearNorm_Residue2 Episode 171, Reward: -169.18312632336142, Steps: 74
LinearNorm_Residue2 Episode 172, Reward: -401.5454172471584, Steps: 204
LinearNorm_Residue2 Episode 173, Reward: -662.4728982332286, Steps: 265
LinearNorm_Residue2 Episode 174, Reward: -339.1697522566246, Steps: 157
LinearNorm_Residue2 Episode 175, Reward: -288.7935797777247, Steps: 300
LinearNorm_Residue2 Episode 176, Reward: -345.64556142015806, Steps: 193
LinearNorm_Residue2 Episode 177, Reward: -207.14723736226412, Steps: 162
LinearNorm_Residue2 Episode 178, Reward: -221.78152868069316, Steps: 204
LinearNorm_Residue2 Episode 179, Reward: -296.2736813164838, Steps: 134
LinearNorm_Residue2 Episode 180, Reward: -184.3154470671925, Steps: 72
LinearNorm_Residue2 Episode 181, Reward: -207.70387201715027, Steps: 82
LinearNorm_Residue2 Episode 182, Reward: -296.29899523089045, Steps: 231
LinearNorm_Residue2 Episode 183, Reward: -290.09611312860363, Steps: 88
LinearNorm_Residue2 Episode 184, Reward: -379.8319459137131, Steps: 79
LinearNorm_Residue2 Episode 185, Reward: -342.53331692451536, Steps: 91
LinearNorm_Residue2 Episode 186, Reward: -332.34005594292677, Steps: 205
LinearNorm_Residue2 Episode 187, Reward: -398.7060093519248, Steps: 241
LinearNorm_Residue2 Episode 188, Reward: -219.8608424112307, Steps: 114
LinearNorm_Residue2 Episode 189, Reward: -203.76669860564056, Steps: 135
