Linear_Residue1 Episode 0, Reward: -268.3398605329755, Steps: 73
Linear_Residue1 Episode 1, Reward: -519.3570016174785, Steps: 267
Linear_Residue1 Episode 2, Reward: -487.1662636426721, Steps: 122
Linear_Residue1 Episode 3, Reward: -387.3074135234396, Steps: 81
Linear_Residue1 Episode 4, Reward: -425.80381209313725, Steps: 77
Linear_Residue1 Episode 5, Reward: -464.7598417902833, Steps: 82
Linear_Residue1 Episode 6, Reward: -248.64488051807777, Steps: 52
Linear_Residue1 Episode 7, Reward: -450.02165296296306, Steps: 59
Linear_Residue1 Episode 8, Reward: -474.0423619420718, Steps: 53
Linear_Residue1 Episode 9, Reward: -634.022976972229, Steps: 65
Linear_Residue1 Episode 10, Reward: -395.1204883177483, Steps: 56
Linear_Residue1 Episode 11, Reward: -475.59209455930227, Steps: 63
Linear_Residue1 Episode 12, Reward: -466.70428566263445, Steps: 60
Linear_Residue1 Episode 13, Reward: -441.63235319216017, Steps: 53
Linear_Residue1 Episode 14, Reward: -540.2662148346253, Steps: 67
Linear_Residue1 Episode 15, Reward: -473.7765180086349, Steps: 57
Linear_Residue1 Episode 16, Reward: -788.9474892194113, Steps: 80
Linear_Residue1 Episode 17, Reward: -498.657986664812, Steps: 57
Linear_Residue1 Episode 18, Reward: -783.6141270279427, Steps: 79
Linear_Residue1 Episode 19, Reward: -379.3531616159953, Steps: 54
Linear_Residue1 Episode 20, Reward: -462.61778614480147, Steps: 53
Linear_Residue1 Episode 21, Reward: -502.45702764085695, Steps: 62
Linear_Residue1 Episode 22, Reward: -658.043162447408, Steps: 70
Linear_Residue1 Episode 23, Reward: -415.04926836126225, Steps: 53
Linear_Residue1 Episode 24, Reward: -763.1920679490667, Steps: 78
Linear_Residue1 Episode 25, Reward: -490.8692619198835, Steps: 55
Linear_Residue1 Episode 26, Reward: -729.0760043305759, Steps: 73
Linear_Residue1 Episode 27, Reward: -567.8701079541881, Steps: 90
Linear_Residue1 Episode 28, Reward: -337.3592421745028, Steps: 135
Linear_Residue1 Episode 29, Reward: -1030.4833417689101, Steps: 137
Linear_Residue1 Episode 30, Reward: -1168.1144931893677, Steps: 165
Linear_Residue1 Episode 31, Reward: -634.0978445656996, Steps: 82
Linear_Residue1 Episode 32, Reward: -546.4574088722504, Steps: 78
Linear_Residue1 Episode 33, Reward: -663.5570879852141, Steps: 98
Linear_Residue1 Episode 34, Reward: -206.88157715480156, Steps: 280
Linear_Residue1 Episode 35, Reward: -358.78244610583835, Steps: 96
Linear_Residue1 Episode 36, Reward: -405.4683941892461, Steps: 148
Linear_Residue1 Episode 37, Reward: -479.21089480234923, Steps: 91
Linear_Residue1 Episode 38, Reward: -347.1106881544544, Steps: 102
Linear_Residue1 Episode 39, Reward: -308.2259114616204, Steps: 83
Linear_Residue1 Episode 40, Reward: -463.2951589266158, Steps: 83
Linear_Residue1 Episode 41, Reward: -167.15763922410656, Steps: 87
