Linear_Linear2 Episode 0, Reward: -593.4671625701703, Steps: 79
Linear_Linear2 Episode 1, Reward: -358.2977816921645, Steps: 80
Linear_Linear2 Episode 2, Reward: -491.31139031967393, Steps: 56
Linear_Linear2 Episode 3, Reward: -741.3493082455989, Steps: 81
Linear_Linear2 Episode 4, Reward: -521.9263743223912, Steps: 59
Linear_Linear2 Episode 5, Reward: -706.6720879469099, Steps: 78
Linear_Linear2 Episode 6, Reward: -485.5045841250135, Steps: 63
Linear_Linear2 Episode 7, Reward: -340.0499947468473, Steps: 51
Linear_Linear2 Episode 8, Reward: -347.45149118049176, Steps: 50
Linear_Linear2 Episode 9, Reward: -524.2346881752749, Steps: 59
Linear_Linear2 Episode 10, Reward: -495.5987751758554, Steps: 64
Linear_Linear2 Episode 11, Reward: -628.0405588657138, Steps: 77
Linear_Linear2 Episode 12, Reward: -760.1742774996519, Steps: 85
Linear_Linear2 Episode 13, Reward: -254.15077290032895, Steps: 84
Linear_Linear2 Episode 14, Reward: -150.03493564862782, Steps: 79
Linear_Linear2 Episode 15, Reward: -137.2152043144638, Steps: 74
Linear_Linear2 Episode 16, Reward: -151.03650897627273, Steps: 78
Linear_Linear2 Episode 17, Reward: -194.40203045794505, Steps: 78
Linear_Linear2 Episode 18, Reward: -147.9406055194084, Steps: 67
Linear_Linear2 Episode 19, Reward: -163.48387319574928, Steps: 86
Linear_Linear2 Episode 20, Reward: -124.96011856870808, Steps: 56
Linear_Linear2 Episode 21, Reward: -119.35735871481515, Steps: 56
Linear_Linear2 Episode 22, Reward: -107.19544641175992, Steps: 78
Linear_Linear2 Episode 23, Reward: -125.55517752828118, Steps: 77
Linear_Linear2 Episode 24, Reward: -159.3260840402165, Steps: 63
Linear_Linear2 Episode 25, Reward: -145.97584799089861, Steps: 59
Linear_Linear2 Episode 26, Reward: -289.3919839981554, Steps: 58
Linear_Linear2 Episode 27, Reward: -132.70745059922672, Steps: 51
Linear_Linear2 Episode 28, Reward: -176.1550498504575, Steps: 76
Linear_Linear2 Episode 29, Reward: -476.71750351605124, Steps: 63
Linear_Linear2 Episode 30, Reward: -119.70348885771477, Steps: 53
Linear_Linear2 Episode 31, Reward: -498.0065668498487, Steps: 74
Linear_Linear2 Episode 32, Reward: -133.06776589218404, Steps: 55
Linear_Linear2 Episode 33, Reward: -459.01022606737433, Steps: 84
Linear_Linear2 Episode 34, Reward: -140.4498535679365, Steps: 68
Linear_Linear2 Episode 35, Reward: -390.96342094114067, Steps: 80
Linear_Linear2 Episode 36, Reward: -145.89711343115974, Steps: 90
Linear_Linear2 Episode 37, Reward: -114.97023838434521, Steps: 54
