LinearNorm_Residue1 Episode 0, Reward: -287.12689830090187, Steps: 103
LinearNorm_Residue1 Episode 1, Reward: -501.1072088080078, Steps: 75
LinearNorm_Residue1 Episode 2, Reward: -492.27306273490063, Steps: 57
LinearNorm_Residue1 Episode 3, Reward: -459.6069221581815, Steps: 55
LinearNorm_Residue1 Episode 4, Reward: -885.1189137049047, Steps: 86
LinearNorm_Residue1 Episode 5, Reward: -738.27844538624, Steps: 80
LinearNorm_Residue1 Episode 6, Reward: -151.5046908714799, Steps: 77
LinearNorm_Residue1 Episode 7, Reward: -164.1137745662534, Steps: 76
LinearNorm_Residue1 Episode 8, Reward: -130.1460027161084, Steps: 65
LinearNorm_Residue1 Episode 9, Reward: -186.9394272581271, Steps: 91
LinearNorm_Residue1 Episode 10, Reward: -183.23183704124312, Steps: 75
LinearNorm_Residue1 Episode 11, Reward: -141.5097018011345, Steps: 89
LinearNorm_Residue1 Episode 12, Reward: -115.48414038928215, Steps: 87
LinearNorm_Residue1 Episode 13, Reward: -189.11728706607678, Steps: 85
LinearNorm_Residue1 Episode 14, Reward: -110.34066057305591, Steps: 89
LinearNorm_Residue1 Episode 15, Reward: -128.87100128166475, Steps: 77
LinearNorm_Residue1 Episode 16, Reward: -166.66348875040012, Steps: 74
LinearNorm_Residue1 Episode 17, Reward: -134.61945814861218, Steps: 76
LinearNorm_Residue1 Episode 18, Reward: -563.4655812051353, Steps: 141
LinearNorm_Residue1 Episode 19, Reward: -1416.476108554234, Steps: 193
LinearNorm_Residue1 Episode 20, Reward: -237.5396375278319, Steps: 80
LinearNorm_Residue1 Episode 21, Reward: -25.538811745465537, Steps: 83
LinearNorm_Residue1 Episode 22, Reward: -361.47155033209214, Steps: 135
LinearNorm_Residue1 Episode 23, Reward: -401.910772732212, Steps: 87
LinearNorm_Residue1 Episode 24, Reward: -122.45177626153523, Steps: 77
LinearNorm_Residue1 Episode 25, Reward: -93.57037152767623, Steps: 81
LinearNorm_Residue1 Episode 26, Reward: -191.01940825318067, Steps: 102
LinearNorm_Residue1 Episode 27, Reward: -368.02292458507054, Steps: 114
LinearNorm_Residue1 Episode 28, Reward: -439.89113867328797, Steps: 122
LinearNorm_Residue1 Episode 29, Reward: -420.7647151577226, Steps: 442
LinearNorm_Residue1 Episode 30, Reward: -301.38402462709917, Steps: 125
LinearNorm_Residue1 Episode 31, Reward: -553.1913196572664, Steps: 285
LinearNorm_Residue1 Episode 32, Reward: -441.44261889542406, Steps: 82
LinearNorm_Residue1 Episode 33, Reward: -285.23495795751, Steps: 123
LinearNorm_Residue1 Episode 34, Reward: -290.8582414358702, Steps: 179
LinearNorm_Residue1 Episode 35, Reward: -512.6484084524268, Steps: 299
LinearNorm_Residue1 Episode 36, Reward: -300.9438600648975, Steps: 140
LinearNorm_Residue1 Episode 37, Reward: -527.3835070036789, Steps: 301
LinearNorm_Residue1 Episode 38, Reward: -361.7908947404507, Steps: 94
LinearNorm_Residue1 Episode 39, Reward: -406.1143008879988, Steps: 97
LinearNorm_Residue1 Episode 40, Reward: -376.09714471560517, Steps: 170
LinearNorm_Residue1 Episode 41, Reward: -331.3078665609013, Steps: 172
LinearNorm_Residue1 Episode 42, Reward: -239.34966138581242, Steps: 384
LinearNorm_Residue1 Episode 43, Reward: -470.93393362481663, Steps: 409
LinearNorm_Residue1 Episode 44, Reward: -423.5767819928942, Steps: 127
LinearNorm_Residue1 Episode 45, Reward: -262.6422478997293, Steps: 136
LinearNorm_Residue1 Episode 46, Reward: -399.43552246059534, Steps: 85
LinearNorm_Residue1 Episode 47, Reward: -344.7359877355792, Steps: 148
LinearNorm_Residue1 Episode 48, Reward: -335.53487822905663, Steps: 80
LinearNorm_Residue1 Episode 49, Reward: -527.8679633302211, Steps: 323
LinearNorm_Residue1 Episode 50, Reward: -314.20558945830896, Steps: 84
LinearNorm_Residue1 Episode 51, Reward: -197.3983962386706, Steps: 159
LinearNorm_Residue1 Episode 52, Reward: -338.4765117018085, Steps: 95
LinearNorm_Residue1 Episode 53, Reward: -297.58471964593855, Steps: 94
LinearNorm_Residue1 Episode 54, Reward: -187.80125148652175, Steps: 193
LinearNorm_Residue1 Episode 55, Reward: -235.55769992415932, Steps: 167
LinearNorm_Residue1 Episode 56, Reward: -202.74929269555008, Steps: 146
LinearNorm_Residue1 Episode 57, Reward: -271.52975025611, Steps: 94
LinearNorm_Residue1 Episode 58, Reward: -30.708538163808186, Steps: 282
LinearNorm_Residue1 Episode 59, Reward: -161.45346790063618, Steps: 118
LinearNorm_Residue1 Episode 60, Reward: -334.3303960723438, Steps: 140
LinearNorm_Residue1 Episode 61, Reward: -314.6975305463824, Steps: 119
LinearNorm_Residue1 Episode 62, Reward: -188.7461780969045, Steps: 228
LinearNorm_Residue1 Episode 63, Reward: -291.7787249834954, Steps: 188
LinearNorm_Residue1 Episode 64, Reward: -335.2316176867138, Steps: 135
LinearNorm_Residue1 Episode 65, Reward: -242.56652196795466, Steps: 112
LinearNorm_Residue1 Episode 66, Reward: -296.3081161564655, Steps: 129
