LinearNorm_Linear1 Episode 0, Reward: -817.4048776374051, Steps: 86
LinearNorm_Linear1 Episode 1, Reward: -513.3485251745624, Steps: 65
LinearNorm_Linear1 Episode 2, Reward: -591.0446273067555, Steps: 69
LinearNorm_Linear1 Episode 3, Reward: -689.9967583126194, Steps: 78
LinearNorm_Linear1 Episode 4, Reward: -834.4148598855064, Steps: 90
LinearNorm_Linear1 Episode 5, Reward: -394.57098176147315, Steps: 57
LinearNorm_Linear1 Episode 6, Reward: -500.2471076390759, Steps: 70
LinearNorm_Linear1 Episode 7, Reward: -720.3916966129109, Steps: 80
LinearNorm_Linear1 Episode 8, Reward: -403.9571960678129, Steps: 57
LinearNorm_Linear1 Episode 9, Reward: -500.6318862546258, Steps: 66
LinearNorm_Linear1 Episode 10, Reward: -394.40891838006434, Steps: 55
LinearNorm_Linear1 Episode 11, Reward: -435.77116021320086, Steps: 59
LinearNorm_Linear1 Episode 12, Reward: -456.46184628751814, Steps: 53
LinearNorm_Linear1 Episode 13, Reward: -830.4566632752396, Steps: 83
LinearNorm_Linear1 Episode 14, Reward: -429.0338123789402, Steps: 53
LinearNorm_Linear1 Episode 15, Reward: -741.0007539943518, Steps: 77
LinearNorm_Linear1 Episode 16, Reward: -802.0843808299743, Steps: 77
LinearNorm_Linear1 Episode 17, Reward: -655.6320109297734, Steps: 91
LinearNorm_Linear1 Episode 18, Reward: -392.621175050731, Steps: 53
LinearNorm_Linear1 Episode 19, Reward: -499.1094285266491, Steps: 56
LinearNorm_Linear1 Episode 20, Reward: -492.2987419092648, Steps: 65
LinearNorm_Linear1 Episode 21, Reward: -882.2428140520833, Steps: 84
LinearNorm_Linear1 Episode 22, Reward: -490.4646110226885, Steps: 68
LinearNorm_Linear1 Episode 23, Reward: -554.0694158025759, Steps: 65
LinearNorm_Linear1 Episode 24, Reward: -672.1494441735056, Steps: 78
LinearNorm_Linear1 Episode 25, Reward: -450.15908807434914, Steps: 75
LinearNorm_Linear1 Episode 26, Reward: -468.8233472857681, Steps: 53
LinearNorm_Linear1 Episode 27, Reward: -452.0616034193352, Steps: 61
LinearNorm_Linear1 Episode 28, Reward: -497.8864203763111, Steps: 70
LinearNorm_Linear1 Episode 29, Reward: -445.4620890551003, Steps: 58
LinearNorm_Linear1 Episode 30, Reward: -865.3464585015222, Steps: 84
LinearNorm_Linear1 Episode 31, Reward: -826.001822762942, Steps: 81
LinearNorm_Linear1 Episode 32, Reward: -460.27615916153025, Steps: 54
LinearNorm_Linear1 Episode 33, Reward: -524.8677261692249, Steps: 59
LinearNorm_Linear1 Episode 34, Reward: -382.0503519712429, Steps: 56
LinearNorm_Linear1 Episode 35, Reward: -190.9678039319678, Steps: 82
LinearNorm_Linear1 Episode 36, Reward: -120.20579757404371, Steps: 72
LinearNorm_Linear1 Episode 37, Reward: -161.81601386442102, Steps: 79
LinearNorm_Linear1 Episode 38, Reward: -143.7389405343804, Steps: 62
LinearNorm_Linear1 Episode 39, Reward: -173.45230657717815, Steps: 68
LinearNorm_Linear1 Episode 40, Reward: -141.60236756657736, Steps: 79
LinearNorm_Linear1 Episode 41, Reward: -137.1554023053131, Steps: 73
LinearNorm_Linear1 Episode 42, Reward: -151.0275005166116, Steps: 76
LinearNorm_Linear1 Episode 43, Reward: -76.84100583196138, Steps: 50
LinearNorm_Linear1 Episode 44, Reward: -131.7520981265013, Steps: 78
LinearNorm_Linear1 Episode 45, Reward: -145.8713649494276, Steps: 81
LinearNorm_Linear1 Episode 46, Reward: -159.74222298797233, Steps: 76
LinearNorm_Linear1 Episode 47, Reward: -161.86881329702666, Steps: 63
LinearNorm_Linear1 Episode 48, Reward: 15.07878584457535, Steps: 85
LinearNorm_Linear1 Episode 49, Reward: -149.3366140296963, Steps: 64
LinearNorm_Linear1 Episode 50, Reward: -126.7904338436878, Steps: 62
LinearNorm_Linear1 Episode 51, Reward: -135.2899806869666, Steps: 67
LinearNorm_Linear1 Episode 52, Reward: -101.15799215533184, Steps: 53
LinearNorm_Linear1 Episode 53, Reward: -119.68638865218736, Steps: 84
LinearNorm_Linear1 Episode 54, Reward: -96.4213356841633, Steps: 52
LinearNorm_Linear1 Episode 55, Reward: -168.50504455636965, Steps: 69
LinearNorm_Linear1 Episode 56, Reward: -120.77383983422922, Steps: 67
LinearNorm_Linear1 Episode 57, Reward: -117.05299173549034, Steps: 57
LinearNorm_Linear1 Episode 58, Reward: -168.16871846578834, Steps: 84
LinearNorm_Linear1 Episode 59, Reward: -161.26886532597746, Steps: 67
LinearNorm_Linear1 Episode 60, Reward: -149.00540641329485, Steps: 80
LinearNorm_Linear1 Episode 61, Reward: -138.56020917212246, Steps: 56
