Residue_Residue2 Episode 91, Reward: -38.58753934180751, Steps: 102
Residue_Residue2 Episode 92, Reward: 221.70863356388332, Steps: 264
Residue_Residue2 Episode 93, Reward: 179.12489716370152, Steps: 710
Residue_Residue2 Episode 94, Reward: -121.31768512735698, Steps: 311
Residue_Residue2 Episode 95, Reward: 24.338912711043662, Steps: 82
Residue_Residue2 Episode 96, Reward: 239.5420915050831, Steps: 178
Residue_Residue2 Episode 97, Reward: -32.35643540782604, Steps: 125
Residue_Residue2 Episode 98, Reward: -295.7745695562792, Steps: 1495
Residue_Residue2 Episode 99, Reward: -51.73607891228569, Steps: 313
Residue_Residue2 Episode 100, Reward: -281.2615628968041, Steps: 1099
Residue_Residue2 Episode 101, Reward: -14.4900956254872, Steps: 84
Residue_Residue2 Episode 102, Reward: 5.098626367083938, Steps: 94
Residue_Residue2 Episode 103, Reward: 93.7620113462595, Steps: 659
Residue_Residue2 Episode 104, Reward: 195.1386024498346, Steps: 474
Residue_Residue2 Episode 105, Reward: -41.62769166121842, Steps: 100
Residue_Residue2 Episode 106, Reward: 110.05703297043593, Steps: 897
Residue_Residue2 Episode 107, Reward: -465.40321716339923, Steps: 366
Residue_Residue2 Episode 108, Reward: -65.31023041089233, Steps: 89
Residue_Residue2 Episode 109, Reward: -20.36780374095234, Steps: 105
Residue_Residue2 Episode 110, Reward: 120.262498750368, Steps: 782
Residue_Residue2 Episode 111, Reward: 191.2754787007171, Steps: 467
Residue_Residue2 Episode 112, Reward: -112.18577283526196, Steps: 415
Residue_Residue2 Episode 113, Reward: 264.5295571721787, Steps: 186
Residue_Residue2 Episode 114, Reward: -113.306862490819, Steps: 588
Residue_Residue2 Episode 115, Reward: -142.97301699662214, Steps: 526
Residue_Residue2 Episode 116, Reward: 218.11522467392624, Steps: 594
Residue_Residue2 Episode 117, Reward: -37.84642555430973, Steps: 78
Residue_Residue2 Episode 118, Reward: 8.176970041769522, Steps: 85
Residue_Residue2 Episode 119, Reward: -11.639414085579546, Steps: 145
Residue_Residue2 Episode 120, Reward: 244.83246308391307, Steps: 212
Residue_Residue2 Episode 121, Reward: 247.17250496088806, Steps: 228
Residue_Residue2 Episode 122, Reward: 144.89471093248565, Steps: 603
Residue_Residue2 Episode 123, Reward: -25.686520101122355, Steps: 277
Residue_Residue2 Episode 124, Reward: -323.0638075219755, Steps: 158
Residue_Residue2 Episode 125, Reward: 249.0607879368632, Steps: 138
Residue_Residue2 Episode 126, Reward: 166.3284345817996, Steps: 530
Residue_Residue2 Episode 127, Reward: -164.66920383145157, Steps: 214
Residue_Residue2 Episode 128, Reward: -36.64062016132577, Steps: 59
