Residue_Residue1 Episode 0, Reward: -451.5326321755848, Steps: 78
Residue_Residue1 Episode 1, Reward: -517.862553418214, Steps: 60
Residue_Residue1 Episode 2, Reward: -454.14441870098136, Steps: 58
Residue_Residue1 Episode 3, Reward: -481.2005522169799, Steps: 62
Residue_Residue1 Episode 4, Reward: -158.95361116998194, Steps: 62
Residue_Residue1 Episode 5, Reward: -108.02948860910587, Steps: 85
Residue_Residue1 Episode 6, Reward: -152.39392644135629, Steps: 60
Residue_Residue1 Episode 7, Reward: -136.60057651724253, Steps: 66
Residue_Residue1 Episode 8, Reward: -107.44032218843967, Steps: 58
Residue_Residue1 Episode 9, Reward: -168.0171793472737, Steps: 72
Residue_Residue1 Episode 10, Reward: -176.09745095274496, Steps: 90
Residue_Residue1 Episode 11, Reward: -122.0634359105972, Steps: 58
Residue_Residue1 Episode 12, Reward: -133.1401014757725, Steps: 88
Residue_Residue1 Episode 13, Reward: -167.38511546546601, Steps: 86
Residue_Residue1 Episode 14, Reward: -144.8879850269578, Steps: 67
Residue_Residue1 Episode 15, Reward: -117.9997102820031, Steps: 86
Residue_Residue1 Episode 16, Reward: -135.68929420624067, Steps: 55
Residue_Residue1 Episode 17, Reward: -97.14354917137373, Steps: 58
Residue_Residue1 Episode 18, Reward: -140.70523571666962, Steps: 80
Residue_Residue1 Episode 19, Reward: -142.38279637123253, Steps: 65
Residue_Residue1 Episode 20, Reward: -96.0172693111098, Steps: 59
Residue_Residue1 Episode 21, Reward: -140.06027323378558, Steps: 51
Residue_Residue1 Episode 22, Reward: -120.78866575307902, Steps: 71
Residue_Residue1 Episode 23, Reward: -178.08574870392442, Steps: 85
Residue_Residue1 Episode 24, Reward: -156.76244202395577, Steps: 82
Residue_Residue1 Episode 25, Reward: -168.64814247301308, Steps: 83
Residue_Residue1 Episode 26, Reward: -114.57683491524352, Steps: 86
Residue_Residue1 Episode 27, Reward: -136.50016257766467, Steps: 81
Residue_Residue1 Episode 28, Reward: -113.2889973678316, Steps: 88
Residue_Residue1 Episode 29, Reward: -111.06271330246892, Steps: 82
Residue_Residue1 Episode 30, Reward: -127.21800328947572, Steps: 61
Residue_Residue1 Episode 31, Reward: -16.52592355812594, Steps: 80
