LinearNorm_Linear2 Episode 84, Reward: -319.74089474827025, Steps: 190
LinearNorm_Linear2 Episode 85, Reward: -165.23529678685486, Steps: 376
LinearNorm_Linear2 Episode 86, Reward: -329.4576243212723, Steps: 1053
LinearNorm_Linear2 Episode 87, Reward: -259.9307076122756, Steps: 285
LinearNorm_Linear2 Episode 88, Reward: -282.09574968224, Steps: 154
LinearNorm_Linear2 Episode 89, Reward: -416.87014676441476, Steps: 178
LinearNorm_Linear2 Episode 90, Reward: -540.658450811005, Steps: 1616
LinearNorm_Linear2 Episode 91, Reward: -301.10744052485154, Steps: 374
LinearNorm_Linear2 Episode 92, Reward: -139.8362625738323, Steps: 134
LinearNorm_Linear2 Episode 93, Reward: -295.8092109674193, Steps: 229
LinearNorm_Linear2 Episode 94, Reward: -295.19840787941996, Steps: 205
LinearNorm_Linear2 Episode 95, Reward: -236.54163277431755, Steps: 382
LinearNorm_Linear2 Episode 96, Reward: -144.50004032207653, Steps: 346
LinearNorm_Linear2 Episode 97, Reward: -195.71852498842736, Steps: 157
LinearNorm_Linear2 Episode 98, Reward: -151.89850178890597, Steps: 178
LinearNorm_Linear2 Episode 99, Reward: -280.2999940456369, Steps: 282
LinearNorm_Linear2 Episode 100, Reward: -245.6976595805417, Steps: 111
LinearNorm_Linear2 Episode 101, Reward: -208.20393554478102, Steps: 253
LinearNorm_Linear2 Episode 102, Reward: -386.5284406003987, Steps: 187
LinearNorm_Linear2 Episode 103, Reward: -346.1723355818657, Steps: 186
LinearNorm_Linear2 Episode 104, Reward: -352.2841552549357, Steps: 181
LinearNorm_Linear2 Episode 105, Reward: -304.94582316207254, Steps: 194
LinearNorm_Linear2 Episode 106, Reward: -163.38933247781017, Steps: 226
LinearNorm_Linear2 Episode 107, Reward: -349.3450968391637, Steps: 553
LinearNorm_Linear2 Episode 108, Reward: -304.7974507751578, Steps: 138
LinearNorm_Linear2 Episode 109, Reward: -541.1716633048984, Steps: 187
LinearNorm_Linear2 Episode 110, Reward: -421.3095388685746, Steps: 201
LinearNorm_Linear2 Episode 111, Reward: -770.6126470159177, Steps: 512
LinearNorm_Linear2 Episode 112, Reward: -69.47417645284433, Steps: 264
LinearNorm_Linear2 Episode 113, Reward: -919.3323711178406, Steps: 528
LinearNorm_Linear2 Episode 114, Reward: -901.4358361023063, Steps: 666
LinearNorm_Linear2 Episode 115, Reward: -270.72038484622647, Steps: 535
LinearNorm_Linear2 Episode 116, Reward: -389.9183628711526, Steps: 1791
LinearNorm_Linear2 Episode 117, Reward: -273.6659712433971, Steps: 864
LinearNorm_Linear2 Episode 118, Reward: -252.82669301277275, Steps: 798
LinearNorm_Linear2 Episode 119, Reward: -227.81215123863603, Steps: 667
LinearNorm_Linear2 Episode 120, Reward: -231.815339407711, Steps: 679
LinearNorm_Linear2 Episode 121, Reward: -220.43444610858288, Steps: 509
LinearNorm_Linear2 Episode 122, Reward: -194.61150971918772, Steps: 395
LinearNorm_Linear2 Episode 123, Reward: -157.48202529320432, Steps: 402
LinearNorm_Linear2 Episode 124, Reward: -252.15814102825303, Steps: 617
LinearNorm_Linear2 Episode 125, Reward: -300.00627992502825, Steps: 704
LinearNorm_Linear2 Episode 126, Reward: -312.8817518375596, Steps: 919
LinearNorm_Linear2 Episode 127, Reward: -211.56879766067806, Steps: 119
LinearNorm_Linear2 Episode 128, Reward: -241.8756236317999, Steps: 769
LinearNorm_Linear2 Episode 129, Reward: -231.66508653995172, Steps: 548
LinearNorm_Linear2 Episode 130, Reward: -233.94198395225382, Steps: 663
LinearNorm_Linear2 Episode 131, Reward: -309.7161943729184, Steps: 87
LinearNorm_Linear2 Episode 132, Reward: -213.45607238821145, Steps: 466
LinearNorm_Linear2 Episode 133, Reward: -252.6966117851853, Steps: 661
LinearNorm_Linear2 Episode 134, Reward: -315.84104447146353, Steps: 94
LinearNorm_Linear2 Episode 135, Reward: -342.0223373805889, Steps: 262
LinearNorm_Linear2 Episode 136, Reward: -118.34314081829548, Steps: 407
LinearNorm_Linear2 Episode 137, Reward: -168.7226412451154, Steps: 159
LinearNorm_Linear2 Episode 138, Reward: -209.81909524209323, Steps: 271
LinearNorm_Linear2 Episode 139, Reward: -240.20969535631025, Steps: 286
LinearNorm_Linear2 Episode 140, Reward: -299.5545083689125, Steps: 301
LinearNorm_Linear2 Episode 141, Reward: -221.34954867246262, Steps: 111
LinearNorm_Linear2 Episode 142, Reward: -311.9643332788919, Steps: 114
LinearNorm_Linear2 Episode 143, Reward: -183.40098887763597, Steps: 527
LinearNorm_Linear2 Episode 144, Reward: -355.3368267036222, Steps: 814
LinearNorm_Linear2 Episode 145, Reward: -183.54729256974917, Steps: 223
LinearNorm_Linear2 Episode 146, Reward: -264.58301624940214, Steps: 434
LinearNorm_Linear2 Episode 147, Reward: -159.06082510145947, Steps: 169
LinearNorm_Linear2 Episode 148, Reward: -213.93895006468603, Steps: 315
LinearNorm_Linear2 Episode 149, Reward: -95.36683494907142, Steps: 76
LinearNorm_Linear2 Episode 150, Reward: -276.60530984274635, Steps: 486
LinearNorm_Linear2 Episode 151, Reward: -220.19931101024252, Steps: 256
LinearNorm_Linear2 Episode 152, Reward: -262.28027372854325, Steps: 173
LinearNorm_Linear2 Episode 153, Reward: -322.8576216228613, Steps: 269
LinearNorm_Linear2 Episode 154, Reward: -155.32728542320964, Steps: 189
LinearNorm_Linear2 Episode 155, Reward: -247.61065837212522, Steps: 452
LinearNorm_Linear2 Episode 156, Reward: -339.67133816743603, Steps: 730
LinearNorm_Linear2 Episode 157, Reward: -175.38211975095896, Steps: 214
LinearNorm_Linear2 Episode 158, Reward: -426.97506223999517, Steps: 1272
LinearNorm_Linear2 Episode 159, Reward: -265.2903504963675, Steps: 605
LinearNorm_Linear2 Episode 160, Reward: -167.72931271074737, Steps: 208
LinearNorm_Linear2 Episode 161, Reward: -207.25207121904387, Steps: 258
LinearNorm_Linear2 Episode 162, Reward: -1142.8898393821808, Steps: 5435
LinearNorm_Linear2 Episode 163, Reward: -249.1574867197654, Steps: 212
LinearNorm_Linear2 Episode 164, Reward: -268.14050611710866, Steps: 921
LinearNorm_Linear2 Episode 165, Reward: -123.85285560756626, Steps: 309
LinearNorm_Linear2 Episode 166, Reward: -271.6715451443406, Steps: 739
LinearNorm_Linear2 Episode 167, Reward: -211.39211285261075, Steps: 140
LinearNorm_Linear2 Episode 168, Reward: -126.7847580278925, Steps: 662
LinearNorm_Linear2 Episode 169, Reward: -128.18897175930942, Steps: 679
LinearNorm_Linear2 Episode 170, Reward: -278.83023579356063, Steps: 744
LinearNorm_Linear2 Episode 171, Reward: -248.23883167131441, Steps: 203
LinearNorm_Linear2 Episode 172, Reward: -230.5682789837462, Steps: 475
LinearNorm_Linear2 Episode 173, Reward: -310.75847024218615, Steps: 384
LinearNorm_Linear2 Episode 174, Reward: -257.890956989683, Steps: 202
LinearNorm_Linear2 Episode 175, Reward: -400.32507850318984, Steps: 1087
LinearNorm_Linear2 Episode 176, Reward: -194.70745205069136, Steps: 170
LinearNorm_Linear2 Episode 177, Reward: -198.06444652641744, Steps: 247
LinearNorm_Linear2 Episode 178, Reward: -171.249533356068, Steps: 195
LinearNorm_Linear2 Episode 179, Reward: -145.20710813481077, Steps: 223
LinearNorm_Linear2 Episode 180, Reward: -218.4609060189019, Steps: 347
LinearNorm_Linear2 Episode 181, Reward: -229.15450865981546, Steps: 447
LinearNorm_Linear2 Episode 182, Reward: -162.898729441865, Steps: 143
LinearNorm_Linear2 Episode 183, Reward: -212.68317646710892, Steps: 340
LinearNorm_Linear2 Episode 184, Reward: -126.73117048163712, Steps: 300
LinearNorm_Linear2 Episode 185, Reward: -204.57681422487906, Steps: 182
LinearNorm_Linear2 Episode 186, Reward: -204.86671467220765, Steps: 201
LinearNorm_Linear2 Episode 187, Reward: -202.4403305675524, Steps: 208
