Residue_Linear1 Episode 91, Reward: -94.15835377152615, Steps: 51
Residue_Linear1 Episode 92, Reward: -137.02019634534318, Steps: 59
Residue_Linear1 Episode 93, Reward: -177.9546813706164, Steps: 78
Residue_Linear1 Episode 94, Reward: -127.82755927631581, Steps: 75
Residue_Linear1 Episode 95, Reward: -123.99586479422999, Steps: 77
Residue_Linear1 Episode 96, Reward: -156.08012697419693, Steps: 85
Residue_Linear1 Episode 97, Reward: -112.40374863041896, Steps: 79
Residue_Linear1 Episode 98, Reward: -54.23073232459686, Steps: 62
Residue_Linear1 Episode 99, Reward: -11.203647229835838, Steps: 67
Residue_Linear1 Episode 100, Reward: -139.01741146862855, Steps: 71
Residue_Linear1 Episode 101, Reward: -167.0560787351178, Steps: 83
Residue_Linear1 Episode 102, Reward: -142.76500164622365, Steps: 85
Residue_Linear1 Episode 103, Reward: -112.65678145930946, Steps: 72
Residue_Linear1 Episode 104, Reward: -125.06217343112942, Steps: 82
Residue_Linear1 Episode 105, Reward: -132.8018843093215, Steps: 70
Residue_Linear1 Episode 106, Reward: -142.28788021604765, Steps: 54
Residue_Linear1 Episode 107, Reward: -118.36675858731226, Steps: 84
Residue_Linear1 Episode 108, Reward: -106.07852878992668, Steps: 59
Residue_Linear1 Episode 109, Reward: -111.14034112947999, Steps: 61
Residue_Linear1 Episode 110, Reward: -90.11547423652186, Steps: 91
Residue_Linear1 Episode 111, Reward: -143.9676870103474, Steps: 64
Residue_Linear1 Episode 112, Reward: -141.7408828803137, Steps: 52
Residue_Linear1 Episode 113, Reward: -170.24473264634693, Steps: 65
Residue_Linear1 Episode 114, Reward: -146.61398854665748, Steps: 67
Residue_Linear1 Episode 115, Reward: -82.16358455324854, Steps: 53
Residue_Linear1 Episode 116, Reward: -140.37167697895165, Steps: 57
Residue_Linear1 Episode 117, Reward: -165.30137667677332, Steps: 89
Residue_Linear1 Episode 118, Reward: -113.50476910094719, Steps: 51
Residue_Linear1 Episode 119, Reward: -194.93829252209437, Steps: 91
Residue_Linear1 Episode 120, Reward: -112.35588754899828, Steps: 80
Residue_Linear1 Episode 121, Reward: -159.15118764972271, Steps: 85
Residue_Linear1 Episode 122, Reward: -82.24845940755264, Steps: 52
Residue_Linear1 Episode 123, Reward: -127.65132793225538, Steps: 80
Residue_Linear1 Episode 124, Reward: -146.00748050600438, Steps: 72
Residue_Linear1 Episode 125, Reward: -85.45066110528276, Steps: 55
Residue_Linear1 Episode 126, Reward: -150.5461655832827, Steps: 67
Residue_Linear1 Episode 127, Reward: -140.9765711690595, Steps: 74
Residue_Linear1 Episode 128, Reward: -121.13825201794782, Steps: 72
Residue_Linear1 Episode 129, Reward: -98.08453478370751, Steps: 85
Residue_Linear1 Episode 130, Reward: -129.96774771674302, Steps: 73
Residue_Linear1 Episode 131, Reward: -158.3840373786175, Steps: 65
Residue_Linear1 Episode 132, Reward: -149.31543467405757, Steps: 64
Residue_Linear1 Episode 133, Reward: -120.20072186381441, Steps: 56
Residue_Linear1 Episode 134, Reward: -114.36824118432838, Steps: 64
Residue_Linear1 Episode 135, Reward: -150.87550290377445, Steps: 72
Residue_Linear1 Episode 136, Reward: -132.5685659314041, Steps: 77
Residue_Linear1 Episode 137, Reward: -116.96556843403047, Steps: 65
Residue_Linear1 Episode 138, Reward: -130.79442283195473, Steps: 88
